,Unnamed: 0,unix,low,high,open,close,volume,date,vol_fiat
0,,1623801600,0.08315,0.0863,0.08549,0.0841,20653365,2021-06-16,1736947.9965
1,,1623715200,0.08416,0.08964,0.08726,0.08542,120029075,2021-06-15,10252883.5865
2,,1623628800,0.08472,0.08889,0.08759,0.08725,115335632,2021-06-14,10063033.892
3,,1623542400,0.07875,0.08899,0.0842,0.08759,111896146,2021-06-13,9800983.42814
4,,1623456000,0.075,0.08599,0.08198,0.08405,158877013,2021-06-12,13353612.94265
5,,1623369600,0.08075,0.09063,0.08915,0.08189,133342429,2021-06-11,10919411.51081
6,,1623283200,0.08867,0.09723,0.09507,0.08914,111605944,2021-06-10,9948553.84816
7,,1623196800,0.08636,0.09511,0.09044,0.09511,132205090,2021-06-09,12574026.1099
8,,1623110400,0.08575,0.09562,0.09379,0.09042,185775498,2021-06-08,16797820.52916
9,,1623024000,0.09359,0.1064,0.10334,0.09385,114189885,2021-06-07,10716720.70725
10,,1622937600,0.09974,0.105,0.10135,0.10337,70092886,2021-06-06,7245501.625820001
11,,1622851200,0.09835,0.10733,0.10146,0.10135,99924425,2021-06-05,10127340.47375
12,0.0,1622764800,0.10161,0.11169,0.11147,0.10384,32103872,2021-06-04,3333666.06848
13,1.0,1622678400,0.106,0.11491,0.10761,0.11144,126622594,2021-06-03,14110821.87536
14,2.0,1622592000,0.104,0.10985,0.1071,0.1076,92166417,2021-06-02,9917106.4692
15,3.0,1622505600,0.10379,0.11047,0.1063,0.10703,122643555,2021-06-01,13126539.69165
16,4.0,1622419200,0.09583,0.11,0.09994,0.10638,183105747,2021-05-31,19478789.36586
17,5.0,1622332800,0.08861,0.10399,0.09476,0.10008,154060240,2021-05-30,15418348.8192
18,6.0,1622246400,0.08933,0.10461,0.10023,0.09467,185789558,2021-05-29,17588697.45586
19,7.0,1622160000,0.09455,0.11114,0.10932,0.10016,207134490,2021-05-28,20746590.5184
20,8.0,1622073600,0.105,0.11651,0.1145,0.10926,253355830,2021-05-27,27681657.9858
21,9.0,1621987200,0.10404,0.11565,0.10597,0.11449,347222588,2021-05-26,39753514.10012
22,10.0,1621900800,0.0996,0.116,0.11295,0.10587,304073404,2021-05-25,32192251.281480003
23,11.0,1621814400,0.09705,0.11383,0.10137,0.1128,346487674,2021-05-24,39083809.6272
24,12.0,1621728000,0.079,0.11405,0.11152,0.10124,420522343,2021-05-23,42573682.00532
25,13.0,1621641600,0.1055,0.1268,0.12177,0.11143,229654376,2021-05-22,25590387.11768
26,14.0,1621555200,0.102,0.145,0.12546,0.12198,515707387,2021-05-21,62905987.06626
27,15.0,1621468800,0.1,0.13384,0.1102,0.12539,484512504,2021-05-20,60753022.87656
28,16.0,1621382400,0.08,0.1641,0.15543,0.11022,790679508,2021-05-19,87148695.37176
29,17.0,1621296000,0.13127,0.165,0.1321,0.15527,662322476,2021-05-18,102838810.84852
30,18.0,1621209600,0.1244,0.142,0.14096,0.1323,269210484,2021-05-17,35616547.0332
31,19.0,1621123200,0.13096,0.15338,0.13414,0.1412,365954483,2021-05-16,51672772.9996
32,20.0,1621036800,0.13279,0.1457,0.14384,0.13433,246176677,2021-05-15,33068913.02141
33,21.0,1620950400,0.13465,0.14766,0.13549,0.14395,240197363,2021-05-14,34576410.40385
34,22.0,1620864000,0.12641,0.15025,0.13703,0.13525,361255831,2021-05-13,48859851.14275
35,23.0,1620777600,0.135,0.16276,0.15878,0.13697,309281252,2021-05-12,42362253.08644
36,24.0,1620691200,0.14049,0.16,0.14307,0.15875,235905527,2021-05-11,37450002.41125
37,25.0,1620604800,0.13572,0.163,0.15823,0.143,336592999,2021-05-10,48132798.85699999
38,26.0,1620518400,0.15261,0.16245,0.16068,0.1581,219987734,2021-05-09,34780060.7454
39,27.0,1620432000,0.159,0.16777,0.16273,0.16087,209106519,2021-05-08,33638965.71153
40,28.0,1620345600,0.1565,0.17056,0.15923,0.16267,255819904,2021-05-07,41614223.78368
41,29.0,1620259200,0.1552,0.168,0.16394,0.15923,335918713,2021-05-06,53488336.670990005
42,30.0,1620172800,0.15258,0.167,0.15407,0.16379,319290111,2021-05-05,52296527.28069
43,31.0,1620086400,0.15112,0.1735,0.17021,0.15407,317707601,2021-05-04,48949210.08607
44,32.0,1620000000,0.17,0.17827,0.17136,0.17021,231487298,2021-05-03,39401452.99258
45,33.0,1619913600,0.166,0.17866,0.17832,0.17124,172691456,2021-05-02,29571684.92544
46,34.0,1619827200,0.17179,0.1898,0.17715,0.17832,330583553,2021-05-01,58949659.17096
47,35.0,1619740800,0.1603,0.1777,0.16436,0.17715,225738277,2021-04-30,39989535.77055
48,36.0,1619654400,0.15601,0.17327,0.1732,0.16436,307865613,2021-04-29,50600792.15268
49,37.0,1619568000,0.15357,0.18199,0.15358,0.17321,698483303,2021-04-28,120984292.91263
50,38.0,1619481600,0.142,0.1599,0.14624,0.15376,254967814,2021-04-27,39203851.08064
51,39.0,1619395200,0.12404,0.1475,0.12616,0.14623,303034818,2021-04-26,44312781.43614
52,40.0,1619308800,0.11757,0.13398,0.12461,0.12616,185096715,2021-04-25,23351801.5644
53,41.0,1619222400,0.1234,0.13855,0.13729,0.12462,222253272,2021-04-24,27697202.75664
54,42.0,1619136000,0.10012,0.13899,0.13423,0.13729,476578382,2021-04-23,65429446.06478
55,43.0,1619049600,0.13,0.15424,0.14706,0.13423,295174568,2021-04-22,39621282.26264
56,44.0,1618963200,0.14612,0.15956,0.15356,0.14706,216537541,2021-04-21,31844010.77946
57,45.0,1618876800,0.13756,0.15469,0.15095,0.15393,296383090,2021-04-20,45622249.0437
58,46.0,1618790400,0.15,0.17,0.16608,0.15061,251449491,2021-04-19,37870807.83951
59,47.0,1618704000,0.1515,0.19234,0.18631,0.1663,427996965,2021-04-18,71175895.27950001
60,48.0,1618617600,0.17734,0.205,0.18426,0.18591,471596716,2021-04-17,87674545.47156
61,49.0,1618531200,0.161,0.2065,0.17183,0.18401,952938412,2021-04-16,175350197.19212002
62,50.0,1618444800,0.15378,0.172,0.156,0.17183,275789849,2021-04-15,47388969.75367
63,51.0,1618358400,0.15,0.1645,0.16357,0.15587,212271984,2021-04-14,33086834.14608
64,52.0,1618272000,0.15113,0.1648,0.15886,0.16356,239281250,2021-04-13,39136841.25
65,53.0,1618185600,0.14626,0.16195,0.14667,0.15915,276952683,2021-04-12,44077019.499450006
66,54.0,1618099200,0.1428,0.15033,0.1495,0.14668,154869485,2021-04-11,22716256.0598
67,55.0,1618012800,0.14532,0.161,0.15717,0.14977,229956908,2021-04-10,34440646.111159995
68,56.0,1617926400,0.1469,0.165,0.15447,0.15746,364351514,2021-04-09,57370789.39444
69,57.0,1617840000,0.13558,0.15599,0.13702,0.15446,366111143,2021-04-08,56549527.14777999
70,58.0,1617753600,0.1202,0.1506,0.14932,0.13735,563331403,2021-04-07,77373568.20205
71,59.0,1617667200,0.13914,0.15956,0.15712,0.14963,362268676,2021-04-06,54206261.98988
72,60.0,1617580800,0.1522,0.16573,0.16146,0.15713,243421124,2021-04-05,38248761.21412
73,61.0,1617494400,0.1501,0.16344,0.1526,0.16126,184334591,2021-04-04,29725796.14466
74,62.0,1617408000,0.15232,0.1759,0.16948,0.1528,285715256,2021-04-03,43657291.1168
75,63.0,1617321600,0.16001,0.186,0.16181,0.1693,557284873,2021-04-02,94348328.9989
76,64.0,1617235200,0.15444,0.172,0.15744,0.16181,405620855,2021-04-01,65633510.54755
77,65.0,1617148800,0.14717,0.16533,0.16518,0.15743,387232234,2021-03-31,60961970.59862
78,66.0,1617062400,0.161,0.175,0.16524,0.16526,498898836,2021-03-30,82448021.63735999
79,67.0,1616976000,0.1575,0.187,0.16629,0.165,733841054,2021-03-29,121083773.91
80,68.0,1616889600,0.16207,0.21764,0.1913,0.16646,1350096271,2021-03-28,224737025.27066
81,69.0,1616803200,0.1274,0.1975,0.13311,0.19135,1491890698,2021-03-27,285473285.0623
82,70.0,1616716800,0.1111,0.1527,0.12195,0.13311,1331484660,2021-03-26,177233923.09260002
83,71.0,1616630400,0.09233,0.1788,0.11,0.12194,998578888,2021-03-25,121766709.60272
