,Unnamed: 0,unix,low,high,open,close,volume,date,vol_fiat
0,,1623801600,0.7089,0.7361,0.7154,0.7245,4732199.55,2021-06-16,3428478.573975
1,,1623715200,0.6737,0.7599,0.683,0.7158,33360540.17,2021-06-15,23879474.653686
2,,1623628800,0.6624,0.727,0.6848,0.6824,34387491.7,2021-06-14,23466024.336080004
3,,1623542400,0.582,0.6946,0.6027,0.6851,19017481.61,2021-06-13,13028876.651011
4,,1623456000,0.5676,0.6285,0.6146,0.6028,20154497.29,2021-06-12,12149130.966412
5,,1623369600,0.6033,0.6814,0.6631,0.6144,17561881.36,2021-06-11,10790019.907584
6,,1623283200,0.6542,0.717,0.7095,0.6629,21827759.27,2021-06-10,14469621.620083
7,,1623196800,0.6567,0.7327,0.6926,0.7093,28691739.49,2021-06-09,20351050.820257
8,,1623110400,0.6251,0.7152,0.6982,0.6927,35109115.67,2021-06-08,24320084.424609
9,,1623024000,0.6869,0.8398,0.7834,0.6989,24403399.1,2021-06-07,17055535.63099
10,,1622937600,0.7473,0.8245,0.7535,0.7833,15865163.47,2021-06-06,12427182.546051
11,,1622851200,0.7219,0.8492,0.8017,0.7521,17133447.49,2021-06-05,12886065.857228998
12,0.0,1622764800,0.8517,0.9556,0.9509,0.8666,8184817.54,2021-06-04,7092962.880164
13,1.0,1622678400,0.7542,0.972,0.7662,0.9509,45791569.5,2021-06-03,43543203.43755
14,2.0,1622592000,0.7368,0.8136,0.7709,0.766,16054313.56,2021-06-02,12297604.18696
15,3.0,1622505600,0.7473,0.8284,0.7933,0.7703,24431080.69,2021-06-01,18819261.455507
16,4.0,1622419200,0.6893,0.858,0.739,0.7935,61254642.57,2021-05-31,48605558.879295
17,5.0,1622332800,0.5889,0.78,0.6298,0.7392,38471952.79,2021-05-30,28438467.502368
18,6.0,1622246400,0.5944,0.699,0.6514,0.6292,37166315.57,2021-05-29,23385045.756644
19,7.0,1622160000,0.6163,0.7938,0.7726,0.6514,73530410.9,2021-05-28,47897709.66026
20,8.0,1622073600,0.7501,0.8437,0.8423,0.7722,55697985.73,2021-05-27,43009984.580706
21,9.0,1621987200,0.8017,0.8841,0.8238,0.8424,55101658.65,2021-05-26,46417637.24676
22,10.0,1621900800,0.7227,0.8659,0.8267,0.8235,51453023.12,2021-05-25,42371564.53932
23,11.0,1621814400,0.6309,0.8753,0.6519,0.8266,69754974.85,2021-05-24,57659462.21101
24,12.0,1621728000,0.5012,0.8078,0.7897,0.6519,69795368.79,2021-05-23,45499600.91420101
25,13.0,1621641600,0.7608,0.8748,0.854,0.7899,36309168.61,2021-05-22,28680612.285039
26,14.0,1621555200,0.7416,0.9599,0.9083,0.8532,59439625.31,2021-05-21,50713888.314492
27,15.0,1621468800,0.6933,0.9988,0.7507,0.9083,51351054.63,2021-05-20,46642162.920429
28,16.0,1621382400,0.5305,1.2446,1.2251,0.7503,75348668.03,2021-05-19,56534105.622909
29,17.0,1621296000,1.1788,1.2664,1.1962,1.2258,31318413.55,2021-05-18,38390111.32959
30,18.0,1621209600,1.1684,1.2999,1.2983,1.1955,35960552.99,2021-05-17,42990841.099545
31,19.0,1621123200,1.2286,1.4199,1.3167,1.2992,28138128.82,2021-05-16,36557056.962944
32,20.0,1621036800,1.3073,1.5263,1.3671,1.3171,41752982.21,2021-05-15,54992852.868791
33,21.0,1620950400,1.2867,1.4,1.3149,1.3664,19992205.22,2021-05-14,27317349.212608
34,22.0,1620864000,1.22,1.4121,1.2933,1.3148,37489570.61,2021-05-13,49291287.438028
35,23.0,1620777600,1.2635,1.5419,1.4623,1.292,34687167.4,2021-05-12,44815820.2808
36,24.0,1620691200,1.3251,1.49,1.3843,1.4624,25031319.97,2021-05-11,36605802.324128
37,25.0,1620604800,1.27,1.5775,1.5361,1.3852,29533529.65,2021-05-10,40909845.27118
38,26.0,1620518400,1.478,1.6035,1.5891,1.5351,19144102.88,2021-05-09,29388112.331087995
39,27.0,1620432000,1.5608,1.6547,1.6021,1.5883,17310990.13,2021-05-08,27495045.623479
40,28.0,1620345600,1.5231,1.7297,1.6066,1.6022,29603207.8,2021-05-07,47430259.53716
41,29.0,1620259200,1.51,1.6696,1.5374,1.6057,31107321.62,2021-05-06,49949026.325234
42,30.0,1620172800,1.422,1.5554,1.4323,1.5377,21467877.99,2021-05-05,33011155.985223
43,31.0,1620086400,1.4175,1.5923,1.5908,1.4327,28889986.16,2021-05-04,41390683.171432
44,32.0,1620000000,1.5711,1.6822,1.6115,1.5908,18111174.9,2021-05-03,28811257.03092
45,33.0,1619913600,1.545,1.6894,1.6779,1.6111,13195835.99,2021-05-02,21259811.363489
46,34.0,1619827200,1.5523,1.73,1.5597,1.6779,20086294.55,2021-05-01,33702793.625445
47,35.0,1619740800,1.4709,1.5988,1.4978,1.5597,15956153.49,2021-04-30,24886812.598353
48,36.0,1619654400,1.4424,1.5682,1.5363,1.4976,14574383.74,2021-04-29,21826597.089024
49,37.0,1619568000,1.4829,1.633,1.56,1.5362,23804724.0,2021-04-28,36568817.0088
50,38.0,1619481600,1.447,1.5799,1.46,1.56,14978009.08,2021-04-27,23365694.1648
51,39.0,1619395200,1.25,1.5061,1.26,1.4613,20986072.92,2021-04-26,30666948.357996
52,40.0,1619308800,1.1951,1.3589,1.258,1.26,13562408.34,2021-04-25,17088634.5084
53,41.0,1619222400,1.25,1.401,1.3969,1.2579,14052584.39,2021-04-24,17676745.904181
54,42.0,1619136000,1.1357,1.4434,1.41,1.3984,46618213.31,2021-04-23,65190909.492704
55,43.0,1619049600,1.3948,1.624,1.526,1.4105,26241938.0,2021-04-22,37014253.549
56,44.0,1618963200,1.4917,1.6629,1.5917,1.5266,20181256.35,2021-04-21,30808705.943910003
57,45.0,1618876800,1.4248,1.645,1.5598,1.591,22886463.63,2021-04-20,36412363.63533
58,46.0,1618790400,1.5313,1.7796,1.708,1.5593,20970485.48,2021-04-19,32699278.008964
