,Unnamed: 0,unix,low,high,open,close,volume,date,vol_fiat
0,,1623801600,0.9259,0.9684,0.9684,0.9384,220479.21,2021-06-16,206897.690664
1,,1623715200,0.9335,1.0165,0.9687,0.9684,3605695.26,2021-06-15,3491755.289784
2,,1623628800,0.92,0.9781,0.9497,0.9679,2939360.44,2021-06-14,2845006.969876
3,,1623542400,0.874,0.9609,0.8943,0.9472,3277217.56,2021-06-13,3104180.4728320003
4,,1623456000,0.8518,0.9497,0.9395,0.8949,3784324.58,2021-06-12,3386592.0666420003
5,,1623369600,0.9269,1.0709,0.9832,0.94,5219815.66,2021-06-11,4906626.7204
6,,1623283200,0.9508,1.0555,1.0218,0.9838,3647246.56,2021-06-10,3588161.165728
7,,1623196800,0.9453,1.039,1.0019,1.0217,4312642.13,2021-06-09,4406226.464221
8,,1623110400,0.9083,1.0562,1.0236,1.0034,6687006.81,2021-06-08,6709742.633154
9,,1623024000,1.0166,1.1688,1.1555,1.0268,3885204.11,2021-06-07,3989327.580148
10,,1622937600,1.062,1.1944,1.0634,1.1553,11007725.55,2021-06-06,12717225.327915002
11,,1622851200,1.0175,1.177,1.1136,1.0634,4181304.88,2021-06-05,4446399.609391999
12,0.0,1622764800,1.1134,1.2222,1.2218,1.1313,1312100.62,2021-06-04,1484379.4314060002
13,1.0,1622678400,1.1414,1.3024,1.1914,1.2181,8973717.18,2021-06-03,10930884.896958
14,2.0,1622592000,1.0495,1.2636,1.0591,1.1928,14615579.01,2021-06-02,17433462.643128
15,3.0,1622505600,1.0268,1.0983,1.0916,1.059,2712099.8,2021-06-01,2872113.6882
16,4.0,1622419200,0.9649,1.1412,1.0158,1.0914,4408598.84,2021-05-31,4811544.773975999
17,5.0,1622332800,0.9543,1.0633,1.0166,1.016,3113282.99,2021-05-30,3163095.5178400003
18,6.0,1622246400,0.935,1.1084,1.0551,1.0168,4346016.25,2021-05-29,4419029.323
19,7.0,1622160000,0.9969,1.2073,1.2066,1.0557,4190451.34,2021-05-28,4423859.479638
20,8.0,1622073600,1.1173,1.2873,1.2873,1.2065,6106242.87,2021-05-27,7367182.022655
21,9.0,1621987200,1.073,1.2888,1.1059,1.2873,8650410.29,2021-05-26,11135673.166317
22,10.0,1621900800,0.96,1.141,1.094,1.1044,8266472.35,2021-05-25,9129492.06334
23,11.0,1621814400,0.8741,1.11,0.9056,1.0916,14988373.37,2021-05-24,16361308.370691998
24,12.0,1621728000,0.7671,1.3373,1.0328,0.9056,29392011.9,2021-05-23,26617405.97664
25,13.0,1621641600,0.9859,1.151,1.1183,1.0331,5690622.58,2021-05-22,5878982.187398
26,14.0,1621555200,0.9413,1.48,1.1991,1.1173,23215729.62,2021-05-21,25938934.704426
27,15.0,1621468800,0.8645,1.2079,0.9756,1.1996,13768199.18,2021-05-20,16516331.736328
28,16.0,1621382400,0.6963,1.5715,1.5439,0.9748,17173838.56,2021-05-19,16741057.828287998
29,17.0,1621296000,1.4801,1.6071,1.5029,1.541,6647587.38,2021-05-18,10243932.15258
30,18.0,1621209600,1.3974,1.5914,1.5883,1.5028,9479623.31,2021-05-17,14245977.910268
31,19.0,1621123200,1.468,1.8267,1.6274,1.5914,9782197.84,2021-05-16,15567389.642576
32,20.0,1621036800,1.6222,1.8333,1.8047,1.6274,7899574.63,2021-05-15,12855767.752862
33,21.0,1620950400,1.6787,1.8882,1.7012,1.8047,7628096.58,2021-05-14,13766425.897926
34,22.0,1620864000,1.6,1.9197,1.6938,1.701,10813540.72,2021-05-13,18393832.76472
35,23.0,1620777600,1.65,2.1377,1.9902,1.6936,13334146.81,2021-05-12,22582711.037416
36,24.0,1620691200,1.8029,2.08,1.8607,1.9878,14831187.31,2021-05-11,29481434.134818003
37,25.0,1620604800,1.808,2.2277,2.1604,1.8584,11552393.02,2021-05-10,21468967.188368
38,26.0,1620518400,2.09,2.3131,2.231,2.1605,19992875.76,2021-05-09,43194608.07948
39,27.0,1620432000,2.1978,2.7345,2.2364,2.2306,41423795.31,2021-05-08,92399917.818486
40,28.0,1620345600,1.8039,2.8,1.9009,2.2364,33106565.65,2021-05-07,74039523.41966
41,29.0,1620259200,1.8201,2.0317,1.9935,1.9036,8715693.62,2021-05-06,16591194.375031998
42,30.0,1620172800,1.7733,2.05,1.8032,1.9966,8764154.51,2021-05-05,17498510.894665997
43,31.0,1620086400,1.79,2.0777,2.0777,1.8064,10204238.57,2021-05-04,18432936.552848
44,32.0,1620000000,2.0518,2.1845,2.0832,2.075,7398317.94,2021-05-03,15351509.725500004
45,33.0,1619913600,1.985,2.1963,2.1895,2.0832,7372248.95,2021-05-02,15357869.01264
46,34.0,1619827200,2.002,2.2281,2.078,2.1898,9420888.9,2021-05-01,20629862.51322
47,35.0,1619740800,1.8726,2.0987,1.945,2.078,7110662.2,2021-04-30,14775956.0516
48,36.0,1619654400,1.8575,2.1064,2.021,1.945,6911173.54,2021-04-29,13442232.5353
49,37.0,1619568000,1.8699,2.25,2.0906,2.0194,10909853.78,2021-04-28,22031358.723332
50,38.0,1619481600,1.9048,2.1366,1.9298,2.0867,10221927.97,2021-04-27,21330097.094999
51,39.0,1619395200,1.6308,1.97,1.6654,1.9325,8680735.8,2021-04-26,16775521.933500003
52,40.0,1619308800,1.5519,1.8199,1.7392,1.6646,5310193.31,2021-04-25,8839347.783826
53,41.0,1619222400,1.6651,2.0051,2.0051,1.7389,11976463.91,2021-04-24,20825873.093099
54,42.0,1619136000,1.2654,2.2149,1.5982,2.0051,22849992.06,2021-04-23,45816519.079506
55,43.0,1619049600,1.5831,1.8878,1.8337,1.5967,7323806.55,2021-04-22,11693921.918385
56,44.0,1618963200,1.8247,2.0,1.9255,1.8317,7193514.21,2021-04-21,13176359.978457
57,45.0,1618876800,1.6262,1.9854,1.8573,1.9326,8567983.47,2021-04-20,16558484.854122002
58,46.0,1618790400,1.8086,2.104,2.0377,1.8524,5493483.95,2021-04-19,10176129.66898
59,47.0,1618704000,1.8033,2.3896,2.3578,2.04,13225959.51,2021-04-18,26980957.4004
60,48.0,1618617600,2.3213,2.6,2.3437,2.355,10103095.92,2021-04-17,23792790.8916
61,49.0,1618531200,2.1697,2.4,2.3407,2.339,12303598.55,2021-04-16,28778117.00845
62,50.0,1618444800,2.2301,2.4256,2.2849,2.3439,8145279.97,2021-04-15,19091721.721683
63,51.0,1618358400,2.0961,2.4988,2.4554,2.2818,13779621.45,2021-04-14,31442340.22461
64,52.0,1618272000,2.355,2.5144,2.4512,2.4554,6016355.65,2021-04-13,14772559.66301
65,53.0,1618185600,2.3163,2.6,2.4125,2.4452,8277725.33,2021-04-12,20240693.976916
66,54.0,1618099200,2.33,2.4815,2.468,2.4117,5109938.13,2021-04-11,12323637.788121
67,55.0,1618012800,2.3615,2.5822,2.5495,2.471,8215900.57,2021-04-10,20301490.30847
68,56.0,1617926400,2.5,2.715,2.6159,2.5496,11443628.31,2021-04-09,29176674.739176
69,57.0,1617840000,2.3035,2.75,2.3582,2.613,19160114.03,2021-04-08,50065377.96039
70,58.0,1617753600,2.075,2.5868,2.5774,2.3604,22989949.63,2021-04-07,54265477.10665199
71,59.0,1617667200,2.4,2.85,2.8209,2.57,17690320.98,2021-04-06,45464124.9186
72,60.0,1617580800,2.8001,3.07,2.91,2.8209,10864120.89,2021-04-05,30646598.618601
73,61.0,1617494400,2.7623,2.9998,2.8041,2.9097,7820605.92,2021-04-04,22755617.045424
74,62.0,1617408000,2.7395,3.16,2.9767,2.804,12269261.2,2021-04-03,34403008.4048
75,63.0,1617321600,2.9563,3.3295,3.0112,2.9764,21117578.34,2021-04-02,62854360.171176
76,64.0,1617235200,2.75,3.75,2.8178,3.0112,48691355.62,2021-04-01,146619410.04294398
77,65.0,1617148800,2.589,3.1193,2.96,2.8288,26606767.32,2021-03-31,75265223.39481601
78,66.0,1617062400,2.5646,3.2896,2.7329,2.9662,37490756.52,2021-03-30,111205081.98962402
79,67.0,1616976000,2.5409,3.0371,2.7,2.738,31466427.14,2021-03-29,86155077.50932
80,68.0,1616889600,2.65,3.9,3.23,2.7073,72078994.56,2021-03-28,195139461.972288
81,69.0,1616803200,1.5691,3.9798,1.5691,3.23,93910213.93,2021-03-27,303329990.9939
82,70.0,1616716800,1.3201,1.6272,1.4326,1.5717,19177858.43,2021-03-26,30141840.094431
83,71.0,1616630400,1.3026,1.73,1.73,1.4355,16320674.4,2021-03-25,23428328.1012
