unix,low,high,open,close,volume,date,vol_fiat
1623801600,1.5272,1.5553,1.5553,1.5429,4357089.26,2021-06-16,6722553.019253999
1623715200,1.541,1.6127,1.5772,1.5545,43268476.61,2021-06-15,67260846.890245
1623628800,1.506,1.5958,1.5568,1.5772,58934752.29,2021-06-14,92951891.311788
1623542400,1.4015,1.582,1.4781,1.5573,56488386.02,2021-06-13,87969363.548946
1623456000,1.3574,1.4941,1.4377,1.4781,66739516.18,2021-06-12,98647678.865658
1623369600,1.42,1.5479,1.5328,1.4378,63235405.02,2021-06-11,90919865.33775601
1623283200,1.5074,1.6396,1.6281,1.5321,56041433.06,2021-06-10,85861079.59122601
1623196800,1.4832,1.6349,1.5837,1.6279,94447813.98,2021-06-09,153751596.378042
1623110400,1.4,1.5973,1.5665,1.5842,152186768.64,2021-06-08,241094278.879488
1623024000,1.5501,1.7436,1.6778,1.5665,73337180.02,2021-06-07,114882692.50132999
1622937600,1.6465,1.708,1.6562,1.6778,35246659.42,2021-06-06,59136845.174876004
1622851200,1.6003,1.7833,1.7087,1.657,74308251.02,2021-06-05,123128771.94014
1622764800,1.6083,1.8483,1.8459,1.7085,130381989.09,2021-06-04,222757628.360265
1622678400,1.711,1.889,1.7538,1.8456,80171317.73,2021-06-03,147964184.002488
1622592000,1.7184,1.805,1.7349,1.7542,99433219.87,2021-06-02,174425754.29595402
1622505600,1.6541,1.78,1.7383,1.7349,108468694.75,2021-06-01,188182338.521775
1622419200,1.526,1.75,1.5769,1.7391,142200899.37,2021-05-31,247301584.09436703
1622332800,1.3468,1.7,1.4043,1.5769,165291552.44,2021-05-30,260648249.04263598
1622246400,1.3358,1.5615,1.5133,1.4051,156390351.21,2021-05-29,219744082.48517102
1622160000,1.4501,1.68,1.6565,1.5141,196815551.17,2021-05-28,297998426.026497
1622073600,1.61,1.79,1.7822,1.6567,128226844.71,2021-05-27,212433413.631057
1621987200,1.554,1.8332,1.5547,1.7811,224330520.17,2021-05-26,399555089.47478694
1621900800,1.4373,1.65,1.5499,1.5549,193646460.6,2021-05-25,301100881.58694
1621814400,1.2586,1.5999,1.3178,1.55,255961229.19,2021-05-24,396739905.2445
1621728000,1.06,1.54,1.4653,1.3178,362911913.98,2021-05-23,478245320.24284405
1621641600,1.3674,1.601,1.5524,1.4652,155738930.97,2021-05-22,228188681.657244
1621555200,1.3169,1.874,1.806,1.5525,307315756.9,2021-05-21,477107712.58724993
1621468800,1.3334,1.9696,1.4927,1.806,335495873.03,2021-05-20,605905546.6921799
1621382400,1.05,2.031,2.0045,1.4919,708126731.14,2021-05-19,1056454270.187766
1621296000,1.976,2.152,2.033,2.0049,177523325.9,2021-05-18,355916516.09691006
1621209600,1.91,2.3317,2.3103,2.0324,332519172.61,2021-05-17,675811966.412564
1621123200,2.002,2.47,2.1936,2.3101,323707586.74,2021-05-16,747796896.1280739
