unix,low,high,open,close,volume,date,vol_fiat
1623801600,23.27218,23.8529,23.8529,23.59114,2506.956,2021-06-16,59141.94996984
1623715200,23.56316,25.15449,24.24562,23.86776,32250.791,2021-06-15,769754.13939816
1623628800,23.30001,24.7229,23.85515,24.24561,41399.754,2021-06-14,1003762.28957994
1623542400,21.83673,23.99906,22.50889,23.81705,28524.355,2021-06-13,679365.98925275
1623456000,21.65328,23.5246,23.1088,22.50912,46079.403,2021-06-12,1037206.8116553599
1623369600,22.67687,24.78344,24.51836,23.05775,44168.77,2021-06-11,1018432.4564674998
1623283200,24.0002,26.40516,26.34114,24.51835,45196.17,2021-06-10,1108135.5147195
1623196800,24.03,26.64722,25.10553,26.3055,75590.668,2021-06-09,1988450.3170740001
1623110400,23.55619,27.53457,27.06716,25.13571,76263.787,2021-06-08,1916944.4335337698
1623024000,26.70064,30.94086,29.1788,27.07201,80045.499,2021-06-07,2166992.5493829898
1622937600,28.3654,31.0,28.48228,29.10833,34129.433,2021-06-06,993450.7984768898
1622851200,27.49779,30.60427,29.19299,28.51333,29376.52,2021-06-05,837622.4090116
1622764800,28.12175,31.75159,31.74552,29.1647,72591.512,2021-06-04,2117109.6700264
1622678400,29.94719,32.39744,30.48272,31.78885,68833.398,2021-06-03,2188134.5640123
1622592000,28.26456,31.71544,29.16289,30.4724,92870.445,2021-06-02,2829985.348218
1622505600,27.96705,31.15061,30.74,29.07617,65243.773,2021-06-01,1897039.0351894102
1622419200,26.34603,30.96105,27.58618,30.76188,78406.238,2021-05-31,2411923.2846074402
1622332800,25.43,28.77758,26.88767,27.58618,38378.556,2021-05-30,1058717.75395608
1622246400,25.96315,30.03715,28.14425,26.89703,82686.356,2021-05-29,2224017.3979226802
1622160000,27.16089,31.93557,31.49882,28.14429,81535.165,2021-05-28,2294749.32895785
1622073600,30.83431,34.09977,33.97968,31.58635,109236.801,2021-05-27,3450391.8292663503
1621987200,31.29616,34.59254,31.9146,33.96965,78294.725,2021-05-26,2659644.40509625
1621900800,28.34685,33.1931,31.7017,31.86386,89879.794,2021-05-25,2863917.1728448397
1621814400,25.18856,33.78721,25.4689,31.82271,219454.917,2021-05-24,6983650.18176507
1621728000,21.23932,31.03368,29.81074,25.45237,300428.667,2021-05-23,7646621.59109079
1621641600,28.64701,33.41492,32.80033,29.93893,160216.996,2021-05-22,4796725.428054281
1621555200,28.67742,40.67684,38.47964,32.83445,270068.506,2021-05-21,8867550.8568317
1621468800,29.51822,41.68354,33.84696,38.346,305132.992,2021-05-20,11700629.711232
1621382400,23.60012,50.92796,49.73312,33.88588,570325.31,2021-05-19,19325975.015622802
1621296000,48.09417,53.73439,48.66688,49.67721,134392.176,2021-05-18,6676228.349508961
1621209600,47.20003,54.38428,53.99574,48.64212,168870.415,2021-05-17,8214214.9908798
1621123200,50.64592,59.84762,56.54516,54.06353,110758.526,2021-05-16,5987996.89315678
1621036800,56.11153,64.2,63.30769,56.38804,72365.516,2021-05-15,4080549.61082864
1620950400,59.4299,66.09721,59.88578,63.2779,82126.241,2021-05-14,5196776.065373899
1620864000,56.7723,66.45518,61.75823,60.02805,190140.129,2021-05-13,11413741.170618448
1620777600,60.08569,75.0,70.66166,61.867,320845.373,2021-05-12,19849740.691391
1620691200,59.0533,72.5821,61.39772,70.66166,268993.263,2021-05-11,19007510.49239658
1620604800,57.7317,72.0,66.38175,61.39728,127065.881,2021-05-10,7801499.47420368
1620518400,64.18644,70.86574,69.83666,66.43512,128280.399,2021-05-09,8522323.70121288
1620432000,63.89283,70.88158,64.86643,69.85481,99622.905,2021-05-08,6959139.10042305
1620345600,63.45479,68.35159,66.62226,64.90463,88450.307,2021-05-07,5740834.44922141
1620259200,64.83769,69.18004,68.82677,66.6191,92845.981,2021-05-06,6185315.6928371005
1620172800,64.45491,68.84951,65.15821,68.77809,160400.628,2021-05-05,11032048.82864052
1620086400,64.28503,74.977,72.0,65.1853,304529.91,2021-05-04,19850873.542322997
1620000000,61.48519,73.02646,61.6103,72.0,265460.728,2021-05-03,19113172.416
1619913600,59.66985,63.6885,63.53603,61.67225,51339.32,2021-05-02,3166211.37787
1619827200,61.0601,64.0,61.95,63.52752,59534.638,2021-05-01,3782087.90623776
1619740800,58.02679,63.0,59.08342,61.93284,91538.097,2021-04-30,5669214.31540548
1619654400,56.64201,63.0,58.9,59.0842,141562.651,2021-04-29,8364115.984214202
1619568000,56.30428,62.44999,59.74072,58.83022,165107.93,2021-04-28,9713335.845644599
1619481600,52.46,61.0,53.17,59.81599,148130.45,2021-04-27,8860569.5158955
1619395200,47.61883,53.88766,48.13778,53.2028,134311.702,2021-04-26,7145758.6191656
1619308800,44.87551,49.80528,46.45029,48.04,73997.641,2021-04-25,3554846.67364
1619222400,45.58744,51.0,50.90124,46.49457,80990.057,2021-04-24,3765597.87449049
1619136000,46.56679,55.57503,54.3421,50.90557,166594.965,2021-04-23,8480611.652455049
1619049600,52.4294,62.77653,55.25088,54.43833,191025.901,2021-04-22,10399131.03718533
1618963200,53.04246,59.1932,55.74871,55.03033,167426.437,2021-04-21,9213532.07883421
1618876800,48.00787,58.42876,52.2262,55.72938,231647.5,2021-04-20,12909571.55355
1618790400,51.82,62.0,58.03939,52.22618,248195.511,2021-04-19,12962303.43267798
1618704000,47.6159,61.33718,61.0243,57.96833,240125.565,2021-04-18,13919677.993356451
1618617600,60.63796,67.22222,63.65799,60.9621,79432.031,2021-04-17,4842343.4170251
1618531200,61.0,68.60469,67.49793,63.61735,142894.663,2021-04-16,9090579.78920305
1618444800,65.20795,72.53559,65.20795,67.41967,361389.694,2021-04-15,24364773.91088098
1618358400,53.40665,66.53362,54.35136,65.20166,367172.697,2021-04-14,23940269.35107702
1618272000,51.24772,55.8,51.53517,54.29736,83774.119,2021-04-13,4548713.49802584
1618185600,50.04,52.485,51.82127,51.43421,70004.863,2021-04-12,3600644.82456323
1618099200,49.76,52.30769,50.62896,51.74156,66622.963,2021-04-11,3447176.03744228
1618012800,49.57135,54.19,51.80456,50.5981,82203.579,2021-04-10,4159344.9105999
1617926400,51.4315,54.46,53.68259,51.79793,53162.475,2021-04-09,2753706.15867675
1617840000,49.81472,54.051,50.34114,53.67746,79631.27,2021-04-08,4274404.310174201
1617753600,48.496,57.85984,57.63022,50.34113,142091.788,2021-04-07,7153061.17164044
1617667200,56.66832,60.9576,59.7744,57.62825,55708.395,2021-04-06,3210377.3141587498
1617580800,56.65,61.05067,59.12226,59.76432,52097.605,2021-04-05,3113577.9364536
1617494400,55.43238,60.14736,56.68027,59.12226,40548.578,2021-04-04,2397323.57114628
1617408000,56.21,62.57721,61.54797,56.69438,60164.832,2021-04-03,3411007.8480441603
1617321600,55.08052,61.6027,55.86479,61.55261,61022.35,2021-04-02,3756084.9108335
1617235200,54.59438,58.25567,57.39348,55.8238,58234.675,2021-04-01,3250880.850265
1617148800,54.03236,58.45997,56.9858,57.37107,55951.024,2021-03-31,3209970.11447568
