unix,low,high,open,close,volume,date,vol_fiat
1623801600,3.9342,4.0073,4.0073,3.9692,25414.931163,2021-06-16,100876.9447721796
1623715200,3.9768,4.17,4.0681,4.0078,255867.298835,2021-06-15,1025464.9602709129
1623628800,3.9028,4.0975,3.9519,4.0626,220138.038399,2021-06-14,894332.7947997774
1623542400,3.6322,3.9924,3.7468,3.9519,355934.43403,2021-06-13,1406617.2898431572
1623456000,3.6078,3.8386,3.7818,3.7433,213432.118919,2021-06-12,798940.4507494927
1623369600,3.49,4.0719,4.0284,3.7989,1073127.969916,2021-06-11,4076705.844913893
1623283200,3.9806,4.2861,4.2577,4.0297,368611.594178,2021-06-10,1485394.1410590867
1623196800,3.9329,4.3196,4.111,4.2579,434573.489577,2021-06-09,1850370.4612699084
1623110400,3.7519,4.3739,4.1701,4.11,725273.480933,2021-06-08,2980874.0066346303
1623024000,4.17,4.6898,4.4776,4.17,379272.615979,2021-06-07,1581566.80863243
1622937600,4.4107,4.7788,4.4271,4.4776,234043.204367,2021-06-06,1047951.8518736792
1622851200,4.318,4.7776,4.5678,4.4313,281159.821794,2021-06-05,1245903.5183157523
1622764800,4.3564,4.9093,4.9081,4.5676,458542.035428,2021-06-04,2094436.6010209324
1622678400,4.6395,4.99,4.7005,4.9023,328930.254962,2021-06-03,1612514.7889002129
1622592000,4.513,4.8399,4.6401,4.6975,334676.793068,2021-06-02,1572144.2354369299
1622505600,4.4828,4.798,4.7541,4.6402,508291.561222,2021-06-01,2358574.5023823245
1622419200,4.1231,4.7735,4.3021,4.756,653983.955146,2021-05-31,3110347.690674376
1622332800,3.926,4.4902,4.1095,4.3031,1295639.956627,2021-05-30,5575268.297361643
1622246400,3.951,4.5784,4.3896,4.1095,665506.456315,2021-05-29,2734898.782226492
1622160000,4.2672,4.9756,4.9108,4.3921,781411.649411,2021-05-28,3432038.105378053
1622073600,4.7544,5.2999,5.22,4.9208,821374.945608,2021-05-27,4041821.8323478466
1621987200,4.5964,5.23,4.6842,5.2208,985323.214126,2021-05-26,5144175.43630902
1621900800,4.1827,4.8429,4.6467,4.6771,2078974.757015,2021-05-25,9723572.836034857
