unix,low,high,open,close,volume,date,vol_fiat
1623801600,2.505,2.56,2.5502,2.5278,143503.16,2021-06-16,362747.287848
1623715200,2.495,2.6382,2.527,2.553,1748006.63,2021-06-15,4462660.92639
1623628800,2.4883,2.775,2.5885,2.5267,3020169.07,2021-06-14,7631061.189168999
1623542400,2.4261,2.6215,2.4907,2.5917,1546501.59,2021-06-13,4008068.170803
1623456000,2.4507,2.8376,2.6073,2.4914,1974532.03,2021-06-12,4919349.099542
1623369600,2.5836,3.187,2.8047,2.608,1505464.6,2021-06-11,3926251.6768000005
1623283200,2.8,3.0983,3.0223,2.8048,1282099.53,2021-06-10,3596032.7617440005
1623196800,2.913,3.26,2.9328,3.0221,2305896.19,2021-06-09,6968648.875799
1623110400,2.75,3.2784,2.8596,2.9291,2857514.88,2021-06-08,8369946.835008
1623024000,2.8302,3.301,3.2399,2.8631,965958.0,2021-06-07,2765634.3498
1622937600,3.16,3.2888,3.207,3.24,435671.37,2021-06-06,1411575.2388000002
1622851200,3.1461,3.5008,3.2995,3.2146,803619.97,2021-06-05,2583316.755562
1622764800,3.2207,3.5105,3.4959,3.2999,1001384.22,2021-06-04,3304467.7875779998
1622678400,3.4247,3.57,3.4791,3.4944,958308.19,2021-06-03,3348712.139136
1622592000,3.2586,3.75,3.4054,3.4838,1562128.81,2021-06-02,5442144.348278
1622505600,3.2854,3.5354,3.4937,3.4004,1215214.8,2021-06-01,4132216.40592
1622419200,3.25,3.5298,3.4052,3.4932,1007272.6,2021-05-31,3518604.64632
1622332800,3.22,3.6135,3.4215,3.4075,1635004.72,2021-05-30,5571278.5834
1622246400,3.0508,3.9,3.4033,3.4239,2721914.2,2021-05-29,9319562.029380001
1622160000,3.14,3.671,3.6127,3.4053,1468717.93,2021-05-28,5001425.167029
1622073600,3.5201,3.9,3.8075,3.6127,1542353.99,2021-05-27,5572062.259672999
1621987200,3.436,3.9564,3.5414,3.8074,3243536.78,2021-05-26,12349441.936172
1621900800,2.6785,3.9797,3.0938,3.538,7180696.35,2021-05-25,25405303.6863
1621814400,2.4863,3.3498,2.65,3.101,3675403.83,2021-05-24,11397427.27683
1621728000,2.1936,3.0159,3.0107,2.6406,2876166.04,2021-05-23,7594804.045224001
1621641600,2.761,3.3797,3.1589,3.0117,4080065.71,2021-05-22,12287933.898806999
1621555200,2.9018,4.3629,4.1728,3.1589,5473278.25,2021-05-21,17289538.663925
1621468800,3.7,4.543,4.0163,4.1708,3910131.82,2021-05-20,16308377.794855999
1621382400,3.8462,5.56,5.4221,4.0151,4995955.32,2021-05-19,20059260.205332004
1621296000,5.3154,6.8,6.3385,5.4108,6569770.55,2021-05-18,35547714.49194
1621209600,4.4445,6.9826,4.6002,6.3385,14770330.29,2021-05-17,93621738.543165
1621123200,4.33,5.3333,4.52,4.6031,1884301.02,2021-05-16,8673626.025162
1621036800,4.4881,5.2,5.106,4.5071,1050275.78,2021-05-15,4733697.968038
1620950400,4.3234,5.3,4.3252,5.1,1621543.76,2021-05-14,8269873.175999999
1620864000,4.166,4.748,4.4601,4.3298,2251393.23,2021-05-13,9748082.407254
1620777600,4.3652,5.3228,5.1898,4.4601,2170793.67,2021-05-12,9681956.847567
1620691200,4.7875,5.6,4.8809,5.1892,2746746.11,2021-05-11,14253414.914011998
