unix,low,high,open,close,volume,date,vol_fiat
1623801600,167.743,171.62,171.62,170.083,973.42200637,2021-06-16,165562.5351094287
1623715200,169.577,179.546,177.885,171.718,12237.03526558,2021-06-15,2101319.2217348665
1623628800,167.647,177.869,172.624,177.861,11079.06822257,2021-06-14,1970534.1531345227
1623542400,157.209,172.774,163.841,172.591,8688.67749018,2021-06-13,1499587.5367076565
1623456000,154.379,165.846,165.347,163.935,11550.24086172,2021-06-12,1893488.7356660683
1623369600,163.509,173.963,170.245,165.591,10253.7531628,2021-06-11,1697929.2399812147
1623283200,164.76,179.69,177.038,170.273,11474.57398559,2021-06-10,1953810.136248366
1623196800,158.182,177.781,166.364,177.0,22266.36346198,2021-06-09,3941146.33277046
1623110400,153.016,175.08,172.704,166.167,31913.97389659,2021-06-08,5303049.300474671
1623024000,169.886,193.39,185.595,172.732,21328.60538243,2021-06-07,3684132.664917899
1622937600,182.053,193.312,185.235,185.426,11438.5447656,2021-06-06,2121003.6017061453
1622851200,179.363,198.359,191.558,185.307,15504.91093183,2021-06-05,2873168.530044622
1622764800,180.217,210.048,210.048,191.232,30169.91803728,2021-06-04,5769453.766105129
1622678400,198.378,215.84,202.176,210.061,23367.19820667,2021-06-03,4908537.022491307
1622592000,186.918,209.317,192.138,202.3,23781.94278296,2021-06-02,4811087.024992808
1622505600,184.456,201.474,197.417,191.697,23361.49645721,2021-06-01,4478328.786357786
1622419200,173.174,198.843,181.514,197.54,21918.26951809,2021-05-31,4329734.960603499
1622332800,165.68,190.78,177.097,181.618,30075.17981095,2021-05-30,5462194.006905117
1622246400,170.9,210.079,182.874,176.917,70917.2397672,2021-05-29,12546465.307893721
1622160000,170.373,206.434,204.826,183.042,40922.31966015,2021-05-28,7490503.2352331765
1622073600,191.425,215.499,214.354,205.357,29511.20937689,2021-05-27,6060333.42401
1621987200,191.765,221.785,195.668,214.287,51826.09387306,2021-05-26,11105658.17777641
1621900800,178.44,216.152,201.526,195.357,47536.07188897,2021-05-25,9286504.396013513
1621814400,146.892,201.874,150.412,201.22,62184.06065425,2021-05-24,12512676.684848186
1621728000,121.092,184.145,178.096,150.218,96759.79746375,2021-05-23,14535063.255409596
1621641600,170.0,194.301,188.561,178.234,44614.51231639,2021-05-22,7951822.988199456
1621555200,165.274,235.98,227.46,188.728,76540.66348188,2021-05-21,14445366.337608248
1621468800,165.224,238.85,191.0,227.592,94728.69467726,2021-05-20,21559493.07898696
1621382400,130.041,311.788,305.405,191.0,144592.16731502,2021-05-19,27617103.957168818
1621296000,290.743,318.576,295.242,304.984,41387.49469701,2021-05-18,12622523.682672897
1621209600,281.368,331.996,331.573,294.587,66895.55576243,2021-05-17,19706561.085386965
1621123200,311.5,367.113,336.47,331.99,38343.22248948,2021-05-16,12729566.434282467
1621036800,333.989,374.985,371.151,336.201,28754.53699189,2021-05-15,9667304.09121041
1620950400,355.001,386.735,357.68,371.316,31055.99333712,2021-05-14,11531587.221966049
1620864000,337.387,390.598,358.25,357.81,64111.39929064,2021-05-13,22939699.7801839
1620777600,350.365,439.666,427.596,360.338,65514.96819087,2021-05-12,23607532.607961714
1620691200,361.0,435.0,371.632,427.22,63276.77639158,2021-05-11,27033104.41001081
1620604800,358.0,434.602,407.474,371.86,70902.40977012,2021-05-10,26365770.09711682
1620518400,374.359,410.71,409.789,407.434,48647.83234284,2021-05-09,19820780.922772676
1620432000,393.001,428.583,404.821,409.719,41058.24758789,2021-05-08,16822344.143462703
1620345600,392.5,478.598,443.056,405.0,76296.133397,2021-05-07,30899934.025785
1620259200,373.317,455.472,397.35,443.754,102106.45425436,2021-05-06,45310147.50118927
1620172800,355.744,420.0,361.485,397.26,113831.31235504,2021-05-05,45220627.14616319
1620086400,315.677,383.892,342.835,361.803,98033.65955033,2021-05-04,35468872.12628805
1620000000,314.753,344.069,315.137,343.0,46288.42321014,2021-05-03,15876929.161078019
1619913600,303.451,324.309,322.521,315.5,21693.30908177,2021-05-02,6844239.0152984345
1619827200,308.327,329.038,320.17,322.382,30945.87601955,2021-05-01,9976393.402934568
