unix,low,high,open,close,volume,date,vol_fiat
1623801600,2502.02,2543.62,2543.57,2514.45,20162.53432484,2021-06-16,50697684.43309393
1623715200,2506.23,2640.0,2582.45,2543.58,168529.3479128,2021-06-15,428667878.7640398
1623628800,2461.63,2609.02,2510.22,2582.86,169626.35302782,2021-06-14,438121122.1814352
1623542400,2309.67,2550.0,2371.85,2510.23,172712.48563163,2021-06-13,433548062.8070866
1623456000,2257.07,2452.58,2355.11,2371.49,177293.96771257,2021-06-12,420450871.4906826
1623369600,2322.16,2499.34,2471.59,2355.27,189880.6813896,2021-06-11,447220272.4564832
1623283200,2428.16,2625.0,2611.4,2471.59,181679.49879048,2021-06-10,449037232.41556245
1623196800,2406.33,2628.16,2509.1,2611.27,291643.03769418,2021-06-09,761558715.0396813
1623110400,2306.52,2621.91,2592.47,2509.11,451505.06172677,2021-06-08,1132875865.429256
1623024000,2575.0,2849.15,2710.97,2592.47,267934.37140931,2021-06-07,694611819.8474939
1622937600,2615.0,2745.36,2629.45,2710.97,122420.16649011,2021-06-06,331877398.7496935
1622851200,2552.18,2816.92,2691.13,2629.75,228143.70836692,2021-06-05,599960917.0779079
1622764800,2554.39,2859.85,2856.73,2690.68,294466.9594428,2021-06-04,792316358.4335531
1622678400,2663.02,2890.0,2706.87,2856.68,254235.89167581,2021-06-03,726270587.032453
1622592000,2552.28,2803.0,2634.46,2706.64,268753.93459884,2021-06-02,727420149.5426043
1622505600,2527.88,2748.0,2707.87,2634.42,341435.04494495,2021-06-01,899483311.1038752
1622419200,2275.22,2720.0,2387.65,2707.12,400639.23849696,2021-05-31,1084578495.3198903
1622332800,2182.2,2480.69,2280.78,2387.66,388966.15183724,2021-05-30,928718922.0957043
1622246400,2207.74,2574.86,2413.28,2280.72,496783.55299687,2021-05-29,1133024184.9910214
1622160000,2329.2,2762.91,2745.25,2413.81,657497.5191979,2021-05-28,1587074086.8150828
1622073600,2639.32,2893.96,2889.43,2745.51,380707.48775302,2021-05-27,1045236214.7007941
