unix,low,high,open,close,volume,date,vol_fiat
1623801600,70.1382,72.5689,72.5689,70.8794,24428.362,2021-06-16,1731467.6415428002
1623715200,71.5925,75.8899,74.93,72.5723,201298.661,2021-06-15,14608706.8156903
1623628800,71.8553,77.7169,73.2465,74.9199,240120.254,2021-06-14,17989785.4176546
1623542400,68.6353,73.7638,69.6732,73.26,133399.227,2021-06-13,9772827.370020002
1623456000,66.1689,71.2907,70.7035,69.6994,250129.03,2021-06-12,17433843.313582
1623369600,69.6686,74.0669,73.3593,70.8049,210713.195,2021-06-11,14919526.700655501
1623283200,71.4192,79.229,77.8467,73.3593,260546.845,2021-06-10,19113534.1664085
1623196800,70.9506,78.8044,76.027,77.78,509265.003,2021-06-09,39610631.933340006
1623110400,70.5363,83.752,82.03,76.0441,903340.648,2021-06-08,68693726.5705768
1623024000,80.0163,92.1107,87.0901,82.0347,390095.487,2021-06-07,32001366.2473989
1622937600,85.9829,89.0301,88.0976,87.0008,163458.527,2021-06-06,14221022.6158216
1622851200,85.8192,93.045,88.041,88.14,417159.535,2021-06-05,36768441.4149
1622764800,84.6722,97.9642,89.4346,87.9469,1221512.763,2021-06-04,107428260.8162847
1622678400,69.4504,94.0419,70.024,89.4733,1081874.025,2021-06-03,96798839.20103249
1622592000,68.1456,72.0575,69.1501,70.0562,218247.689,2021-06-02,15289603.750121802
1622505600,68.0001,73.0466,72.5103,69.1501,331604.588,2021-06-01,22930490.420658797
1622419200,66.3741,72.9216,68.25,72.5899,526475.398,2021-05-31,38216796.4932802
1622332800,65.2975,69.4623,68.331,68.2758,510075.853,2021-05-30,34825836.924257405
1622246400,64.7547,69.8805,66.6625,68.252,838317.674,2021-05-29,57216857.88584799
1622160000,64.9,71.8384,71.4599,66.81,822478.662,2021-05-28,54949799.40822
1622073600,69.0227,74.6478,74.6398,71.4599,455259.64,2021-05-27,32532808.348436
1621987200,70.1756,75.0,72.3615,74.6554,790227.743,2021-05-26,58994768.244762205
1621900800,65.9026,80.0,74.8369,72.3585,1207425.231,2021-05-25,87367478.5773135
1621814400,62.3493,75.2485,64.9958,74.7799,1024104.401,2021-05-24,76582424.69633989
1621728000,55.2551,74.7978,72.3385,64.9093,1073892.183,2021-05-23,69705589.8740019
1621641600,66.6369,77.531,77.09,72.22,614532.688,2021-05-22,44381550.727359995
1621555200,67.9,95.0772,88.7609,77.1164,1275863.559,2021-05-21,98390004.56126758
1621468800,61.2109,95.8068,65.8749,88.8507,1119138.785,2021-05-20,99436264.44439949
1621382400,54.4164,101.7677,100.255,65.6758,1115370.92,2021-05-19,73252877.46773599
1621296000,96.916,106.0947,99.4986,100.19,574648.368,2021-05-18,57574019.98992
1621209600,93.3003,107.9001,107.846,99.5127,913231.448,2021-05-17,90878127.1153896
1621123200,100.0152,116.1274,110.5582,107.846,688967.176,2021-05-16,74302354.062896
1621036800,110.0,122.9071,120.71,110.5048,583825.008,2021-05-15,64515465.7440384
1620950400,113.9115,125.0,117.8761,120.7524,574168.695,2021-05-14,69332247.92611799
1620864000,81.618,128.4466,127.1662,117.7266,1360539.611,2021-05-13,160171702.5683526
1620777600,124.26,145.7351,142.9953,127.1021,384191.482,2021-05-12,48831544.1643122
1620691200,134.0042,143.554,135.8366,143.1084,257542.422,2021-05-11,36856483.9445448
1620604800,129.5592,149.4279,146.74,135.8501,335994.161,2021-05-10,45644840.371266104
1620518400,140.8782,149.8379,148.3766,146.66,266955.491,2021-05-09,39151692.310059994
1620432000,146.25,154.3934,150.5186,148.3766,196976.459,2021-05-08,29226697.266459398
1620345600,147.0712,155.0,153.6579,150.4661,155941.122,2021-05-07,23463852.456964202
1620259200,149.815,165.8733,152.6902,153.7094,364587.348,2021-05-06,56040502.508671194
1620172800,139.7489,154.9388,140.8764,152.636,284868.607,2021-05-05,43481204.698052004
1620086400,136.2648,160.4963,160.3,140.8413,313637.549,2021-05-04,44173120.129973695
