unix,low,high,open,close,volume,date,vol_fiat
1623801600,0.2986,0.3057,0.3054,0.3025,1658164.598639,2021-06-16,501594.7910882975
1623715200,0.3021,0.3211,0.3134,0.3055,12464762.456588,2021-06-15,3807984.930487634
1623628800,0.2991,0.3201,0.306,0.313,12060360.287194,2021-06-14,3774892.769891722
1623542400,0.284,0.315,0.2911,0.3054,5586632.926777,2021-06-13,1706157.6958376956
1623456000,0.2793,0.3097,0.2917,0.2907,13172751.160854,2021-06-12,3829318.7624602583
1623369600,0.287,0.3171,0.3112,0.2919,6250867.733116,2021-06-11,1824628.2912965603
1623283200,0.3072,0.343,0.3326,0.3118,10948726.967861,2021-06-10,3413813.06857906
1623196800,0.3074,0.3368,0.3199,0.3327,12212917.803798,2021-06-09,4063237.7533235946
1623110400,0.284,0.3348,0.3266,0.3198,27126913.059453,2021-06-08,8675186.796413068
1623024000,0.326,0.3699,0.3554,0.3272,14822364.985582,2021-06-07,4849877.82328243
1622937600,0.343,0.3632,0.3459,0.3557,7527899.623859,2021-06-06,2677673.8962066467
1622851200,0.3369,0.3747,0.3614,0.346,14777319.67174,2021-06-05,5112952.60642204
1622764800,0.3439,0.3923,0.3922,0.3608,20466239.228931,2021-06-04,7384219.113798304
1622678400,0.3757,0.4104,0.3807,0.3914,18595653.368576,2021-06-03,7278338.728460647
1622592000,0.361,0.4001,0.3754,0.3814,22178064.520571,2021-06-02,8458713.80814578
1622505600,0.3573,0.4079,0.369,0.3752,29463369.622072,2021-06-01,11054656.282201413
1622419200,0.3165,0.3923,0.3345,0.3689,28998994.129884,2021-05-31,10697728.934514208
1622332800,0.3001,0.36,0.3217,0.3355,17326632.587247,2021-05-30,5813085.233021368
1622246400,0.3018,0.3886,0.3514,0.3223,30099130.995991,2021-05-29,9700949.920007898
1622160000,0.3328,0.486,0.4067,0.3516,66047751.754521,2021-05-28,23222389.516889583
1622073600,0.3807,0.4426,0.4233,0.4045,28095428.019078,2021-05-27,11364600.633717053
1621987200,0.3864,0.4837,0.392,0.4233,67252256.979045,2021-05-26,28467880.37922975
1621900800,0.2908,0.41,0.3397,0.392,58323556.083988,2021-05-25,22862833.9849233
1621814400,0.2616,0.3431,0.2739,0.3391,42999972.403695,2021-05-24,14581290.642092975
1621728000,0.2217,0.3315,0.3149,0.2739,29200459.527908,2021-05-23,7998005.864694001
1621641600,0.3037,0.3582,0.3491,0.3149,18886994.787062,2021-05-22,5947514.658445824
1621555200,0.2993,0.437,0.4071,0.3491,28042512.490141,2021-05-21,9789641.110308224
1621468800,0.3047,0.4313,0.345,0.4059,32105275.092539,2021-05-20,13031531.16006158
1621382400,0.2772,0.5379,0.5275,0.3444,62058226.10783,2021-05-19,21372853.071536653
1621296000,0.5046,0.5778,0.5107,0.5281,30869975.471092,2021-05-18,16302434.046283687
1621209600,0.4872,0.5705,0.5705,0.5102,36252063.12076,2021-05-17,18495802.60421175
1621123200,0.5276,0.6214,0.5572,0.5692,35034065.596397,2021-05-16,19941390.137469172
1621036800,0.55,0.6564,0.612,0.556,43304148.425899,2021-05-15,24077106.524799846
1620950400,0.5882,0.6641,0.612,0.612,46620681.241034,2021-05-14,28531856.91951281
1620864000,0.5716,0.6713,0.6162,0.6113,66632514.07489,2021-05-13,40732455.85398026
1620777600,0.6002,0.935,0.658,0.6161,198542748.70839,2021-05-12,122322187.47923908
