unix,low,high,open,close,volume,date,vol_fiat
1623801600,0.2879,0.3006,0.2998,0.2945,2241576.405823,2021-06-16,660144.2515148734
1623715200,0.295,0.3176,0.3127,0.2999,14273741.733884,2021-06-15,4280695.1459918115
1623628800,0.3031,0.3287,0.3098,0.3127,16677039.495801,2021-06-14,5214910.250336972
1623542400,0.29,0.3329,0.3103,0.3096,29414507.354593,2021-06-13,9106731.476981992
1623456000,0.2558,0.3386,0.2733,0.3107,40345879.080544,2021-06-12,12535464.630325021
1623369600,0.27,0.312,0.3016,0.2733,26704089.19891,2021-06-11,7298227.578062103
1623283200,0.2999,0.358,0.3355,0.3019,20631940.669275,2021-06-10,6228782.888054123
1623196800,0.3207,0.3736,0.3617,0.3356,48867867.287625,2021-06-09,16400056.261726951
1623110400,0.2857,0.375,0.319,0.3615,60703437.310999,2021-06-08,21944292.58792614
1623024000,0.315,0.3994,0.3653,0.3189,31369257.689296,2021-06-07,10003656.277116494
1622937600,0.3585,0.4063,0.3862,0.3653,24327821.400247,2021-06-06,8886953.15751023
1622851200,0.3686,0.4604,0.4561,0.386,59466871.210088,2021-06-05,22954212.287093967
1622764800,0.315,0.5189,0.3461,0.4567,180424320.285337,2021-06-04,82399787.0743134
1622678400,0.3153,0.3688,0.3199,0.3455,34366406.84508,2021-06-03,11873593.56497514
1622592000,0.2957,0.344,0.3047,0.3204,17654847.200666,2021-06-02,5656613.043093386
1622505600,0.294,0.317,0.3052,0.3047,13218656.135843,2021-06-01,4027724.524591362
1622419200,0.2778,0.31,0.2919,0.3046,13057321.354767,2021-05-31,3977260.084662028
1622332800,0.2652,0.3095,0.2783,0.2923,17732738.141556,2021-05-30,5183279.358776818
1622246400,0.266,0.3077,0.2972,0.2784,19751922.966015,2021-05-29,5498935.353738575
1622160000,0.2841,0.3555,0.3453,0.2975,28595320.832782,2021-05-28,8507107.947752645
1622073600,0.2955,0.37,0.3555,0.3463,49079520.636885,2021-05-27,16996237.996553276
1621987200,0.2694,0.3766,0.275,0.3556,47119846.087621,2021-05-26,16755817.26875803
1621900800,0.2431,0.2915,0.2745,0.275,31341471.428109,2021-05-25,8618904.642729975
1621814400,0.2245,0.2885,0.2372,0.2746,35494591.916163,2021-05-24,9746814.940178359
1621728000,0.2021,0.3035,0.2897,0.2373,41659141.145764,2021-05-23,9885714.193889799
1621641600,0.28,0.33,0.3201,0.2897,25334877.609928,2021-05-22,7339514.043596142
1621555200,0.291,0.4291,0.346,0.3198,59446591.926753,2021-05-21,19011020.098175608
1621468800,0.2792,0.3665,0.3097,0.3459,36926904.1082,2021-05-20,12773016.13102638
1621382400,0.2802,0.404,0.3986,0.3097,58133596.785487,2021-05-19,18003974.924465325
1621296000,0.3772,0.47,0.3779,0.3989,54851139.514984,2021-05-18,21880119.552527115
1621209600,0.3548,0.4032,0.3961,0.3778,27480878.597492,2021-05-17,10382275.934132477
1621123200,0.3743,0.4346,0.3876,0.396,24923443.15329,2021-05-16,9869683.488702841
1621036800,0.3822,0.4269,0.4114,0.3878,21910595.83285,2021-05-15,8496929.06397923
1620950400,0.4015,0.4397,0.4178,0.4113,18316294.327036,2021-05-14,7533491.856709907
1620864000,0.3797,0.427,0.401,0.4178,27985617.2102,2021-05-13,11692390.87042156
1620777600,0.398,0.47,0.458,0.402,26504782.157576,2021-05-12,10654922.427345552
1620691200,0.4145,0.478,0.4348,0.4579,20036677.478211,2021-05-11,9174794.617272817
1620604800,0.42,0.494,0.4634,0.4348,34360193.864207,2021-05-10,14939812.292157205
1620518400,0.4481,0.4848,0.4847,0.4638,17062314.496052,2021-05-09,7913501.463268918
1620432000,0.4609,0.4912,0.4653,0.4847,17591999.263562,2021-05-08,8526842.043048503
1620345600,0.4466,0.4973,0.4507,0.4653,24500629.58251,2021-05-07,11400142.944741903
1620259200,0.4466,0.4846,0.4761,0.4506,31078145.415405,2021-05-06,14003812.324181493
1620172800,0.4569,0.4839,0.4581,0.4757,25196126.749238,2021-05-05,11985797.494612517
1620086400,0.4554,0.5142,0.5114,0.458,22131234.234889,2021-05-04,10136105.279579163
1620000000,0.5025,0.528,0.505,0.511,18871143.102014,2021-05-03,9643154.125129156
1619913600,0.4921,0.5205,0.5159,0.5047,14128499.518654,2021-05-02,7130653.707064674
1619827200,0.5111,0.5367,0.5223,0.516,15547140.843247,2021-05-01,8022324.675115452
1619740800,0.5013,0.5354,0.5266,0.5222,23696762.121914,2021-04-30,12374449.18006349
1619654400,0.5,0.5757,0.5142,0.5266,35482321.875894,2021-04-29,18684990.69984578
1619568000,0.462,0.5979,0.4938,0.5144,78674966.647368,2021-04-28,40470402.843406096
1619481600,0.4489,0.51,0.465,0.4936,33005638.62786,2021-04-27,16291583.226711694
1619395200,0.375,0.4742,0.3798,0.465,50136060.65908,2021-04-26,23313268.2064722
1619308800,0.3557,0.4068,0.386,0.3798,15351057.501164,2021-04-25,5830331.638942088
