unix,low,high,open,close,volume,date,vol_fiat
1623801600,5.0201,5.1802,5.1802,5.13,163245.8,2021-06-16,837450.9539999999
1623715200,5.0799,5.65,5.2067,5.1853,1299468.1,2021-06-15,6738131.93893
1623628800,4.9084,5.2347,5.059,5.208,1380797.7,2021-06-14,7191194.4216
1623542400,4.4558,5.1493,4.6427,5.0619,1117298.9,2021-06-13,5655655.301909999
1623456000,4.353,4.8612,4.7682,4.6407,1137381.5,2021-06-12,5278246.3270499995
1623369600,4.6646,5.2818,5.0816,4.7736,690896.0,2021-06-11,3298061.1456
1623283200,4.9558,5.5796,5.5249,5.0697,1697395.0,2021-06-10,8605283.4315
1623196800,5.0742,5.5368,5.3484,5.5211,1241542.6,2021-06-09,6854680.84886
1623110400,4.7283,5.4928,5.3625,5.3502,2492421.3,2021-06-08,13334952.439259999
1623024000,5.3024,6.2,6.0455,5.3672,1011100.6,2021-06-07,5426779.14032
1622937600,5.8034,6.1127,5.8667,6.0299,668417.5,2021-06-06,4030490.68325
1622851200,5.6632,6.4633,6.218,5.8594,1167127.8,2021-06-05,6838668.631320001
1622764800,5.7704,6.8802,6.6977,6.218,2055085.1,2021-06-04,12778519.151800001
1622678400,6.3602,7.0883,6.4571,6.6972,1351327.7,2021-06-03,9050111.87244
1622592000,6.1308,6.7948,6.3283,6.4554,1107926.3,2021-06-02,7152107.43702
1622505600,6.1568,6.7144,6.6017,6.3234,1423708.6,2021-06-01,9002678.961240001
1622419200,5.8633,6.6301,6.0698,6.6113,2007836.9,2021-05-31,13274412.09697
1622332800,5.4312,6.5276,5.8594,6.0697,2177656.5,2021-05-30,13217721.65805
1622246400,5.4693,6.7216,6.2476,5.845,2778868.2,2021-05-29,16242484.629
1622160000,5.85,7.3188,7.2604,6.262,4167322.0,2021-05-28,26095770.363999996
1622073600,7.0813,8.0,7.2517,7.2495,4215735.1,2021-05-27,30561971.607449997
1621987200,6.1591,7.7161,6.1674,7.2498,5289734.6,2021-05-26,38349517.903079994
1621900800,5.502,6.55,6.2765,6.1488,5088025.6,2021-05-25,31285251.809279997
1621814400,4.2446,7.0,4.2977,6.272,12529334.3,2021-05-24,78583984.72960001
1621728000,3.3784,5.4881,5.1721,4.2933,6594428.4,2021-05-23,28311859.449720003
1621641600,4.8054,5.7294,5.6534,5.171,4035436.6,2021-05-22,20867242.658600003
1621555200,4.8212,7.292,6.6701,5.6663,6057008.5,2021-05-21,34320827.26355
1621468800,4.9011,6.9927,5.4608,6.6757,5526735.3,2021-05-20,36894826.84221
1621382400,4.1669,8.8549,8.6844,5.46,7733545.2,2021-05-19,42225156.792
1621296000,8.3934,9.2644,8.5039,8.6842,2817353.5,2021-05-18,24466461.264700003
1621209600,7.95,9.3194,9.3104,8.4911,4530464.5,2021-05-17,38468627.115949996
1621123200,8.7132,10.5699,9.3468,9.3228,3058095.5,2021-05-16,28510012.7274
1621036800,9.2872,10.5517,10.247,9.3274,2535284.0,2021-05-15,23647607.9816
1620950400,9.6046,10.9178,9.6532,10.2491,3373309.7,2021-05-14,34573388.446270004
1620864000,9.0016,10.6035,9.6806,9.6571,5365154.7,2021-05-13,51811835.45337
1620777600,9.49,12.3813,12.3279,9.6747,4765266.1,2021-05-12,46102519.93766999
1620691200,9.568,12.5622,10.0626,12.3419,8014194.8,2021-05-11,98910390.80212
1620604800,9.404,12.203,11.6441,10.0663,3519292.1,2021-05-10,35426250.06623
