unix,low,high,open,close,volume,date,vol_fiat
1623801600,8.618,9.108,9.1,8.722,469958.08,2021-06-16,4098974.37376
1623715200,8.928,9.646,9.252,9.101,801417.92,2021-06-15,7293704.4899200015
1623628800,8.394,9.5,8.666,9.261,909065.2,2021-06-14,8418852.8172
1623542400,7.754,8.88,7.845,8.648,996038.82,2021-06-13,8613743.715359999
1623456000,7.638,8.563,8.556,7.849,1346044.41,2021-06-12,10565102.57409
1623369600,8.292,9.556,9.413,8.56,1344718.28,2021-06-11,11510788.4768
1623283200,9.205,10.598,10.542,9.418,1172914.43,2021-06-10,11046508.101739999
1623196800,9.476,10.553,10.064,10.542,1890856.16,2021-06-09,19933405.63872
1623110400,9.108,10.509,10.247,10.081,1666821.83,2021-06-08,16803230.86823
1623024000,10.177,11.823,11.539,10.266,782263.64,2021-06-07,8030718.52824
1622937600,11.333,11.898,11.558,11.539,285640.68,2021-06-06,3296007.8065199996
1622851200,11.05,12.572,11.848,11.555,655094.03,2021-06-05,7569611.516650001
1622764800,11.296,13.255,13.254,11.85,1093177.11,2021-06-04,12954148.753500002
1622678400,12.25,13.5,12.529,13.254,915210.83,2021-06-03,12130204.34082
1622592000,11.637,12.966,12.068,12.531,964945.04,2021-06-02,12091726.296240002
1622505600,11.36,12.671,12.457,12.066,1166122.94,2021-06-01,14070439.39404
1622419200,10.064,12.553,10.816,12.467,1654714.44,2021-05-31,20629324.92348
1622332800,9.577,11.175,10.051,10.814,1288951.13,2021-05-30,13938717.51982
1622246400,9.63,11.478,10.573,10.052,1815752.15,2021-05-29,18251940.6118
1622160000,10.031,12.392,12.148,10.566,2224759.65,2021-05-28,23506810.4619
1622073600,11.602,13.453,13.437,12.145,2037618.6,2021-05-27,24746877.897
1621987200,11.57,13.697,12.237,13.43,3945425.82,2021-05-26,52987068.7626
1621900800,9.615,12.665,11.995,12.231,4640495.67,2021-05-25,56757902.53977
1621814400,8.903,12.5,9.025,12.01,4971914.98,2021-05-24,59712698.90980001
1621728000,6.333,11.462,11.083,9.025,7701806.54,2021-05-23,69508804.02350001
1621641600,9.982,12.982,12.767,11.071,4480435.71,2021-05-22,49602903.745409995
1621555200,10.35,16.427,15.127,12.767,4387270.76,2021-05-21,56012285.79291999
1621468800,11.71,17.053,13.399,15.139,4121162.8,2021-05-20,62390283.6292
1621382400,11.113,21.96,21.45,13.399,7100262.61,2021-05-19,95136418.71139
1621296000,16.05,22.615,16.186,21.435,5664158.51,2021-05-18,121411237.66184999
1621209600,14.347,18.4,16.565,16.19,3439944.26,2021-05-17,55692697.5694
1621123200,15.0,17.661,16.203,16.585,1928880.54,2021-05-16,31990483.755900003
1621036800,16.1,18.97,18.616,16.202,2400126.56,2021-05-15,38886850.525120005
1620950400,14.65,19.328,14.769,18.596,3498123.18,2021-05-14,65051098.65528
1620864000,13.86,16.809,14.822,14.755,2692765.12,2021-05-13,39731749.3456
1620777600,14.285,18.409,15.289,14.821,4677023.01,2021-05-12,69318158.03120999
1620691200,13.386,15.339,13.838,15.269,1656591.67,2021-05-11,25294498.20923
1620604800,13.0,16.7,15.547,13.85,1634860.84,2021-05-10,22642822.634
1620518400,15.223,16.522,16.353,15.554,1123984.59,2021-05-09,17482456.31286
1620432000,15.487,16.835,15.813,16.348,1140844.46,2021-05-08,18650525.232079998
1620345600,15.365,17.81,16.524,15.81,2460507.05,2021-05-07,38900616.4605
1620259200,14.0,16.99,14.384,16.512,3343473.19,2021-05-06,55207429.31328
1620172800,12.535,14.49,12.672,14.384,981569.96,2021-05-05,14118902.30464
1620086400,12.6,14.49,14.429,12.666,1587100.07,2021-05-04,20102209.48662
1620000000,13.9,14.867,13.904,14.411,1095555.2,2021-05-03,15788045.9872
1619913600,13.757,14.867,14.841,13.914,678050.17,2021-05-02,9434390.06538
1619827200,14.26,15.172,14.35,14.829,582675.11,2021-05-01,8640489.20619
1619740800,13.762,14.702,14.052,14.344,569545.25,2021-04-30,8169557.066
1619654400,13.595,14.889,14.306,14.044,1256387.87,2021-04-29,17644711.246280003
1619568000,12.967,14.625,14.305,14.304,1728649.52,2021-04-28,24726602.73408
