unix,low,high,open,close,volume,date,vol_fiat
1623801600,132.29,136.5,136.5,133.76,1305.86193905,2021-06-16,174672.092967328
1623715200,133.28,141.27,139.6,136.48,15939.60091578,2021-06-15,2175436.7329856544
1623628800,128.69,139.54,133.22,139.54,17550.78001214,2021-06-14,2449035.8428940154
1623542400,121.05,133.21,126.11,132.98,13645.63397065,2021-06-13,1814596.405417037
1623456000,118.73,129.17,124.1,125.97,21471.79745657,2021-06-12,2704802.3256041226
1623369600,122.59,135.74,133.95,124.72,19543.12383264,2021-06-11,2437418.404406861
1623283200,131.83,151.73,145.5,133.95,45222.45083883,2021-06-10,6057547.289861279
1623196800,124.38,145.98,131.16,145.41,36232.62680654,2021-06-09,5268586.263938981
1623110400,119.43,139.03,135.77,131.04,49434.30038928,2021-06-08,6477870.723011251
1623024000,134.26,155.0,149.53,135.47,24418.42236978,2021-06-07,3307963.6784340967
1622937600,147.02,156.58,153.18,149.65,15220.80208212,2021-06-06,2277793.031589258
1622851200,147.76,161.29,155.85,153.0,21303.45401798,2021-06-05,3259428.46475094
1622764800,147.05,172.69,172.69,155.72,34822.84481135,2021-06-04,5422613.394023421
1622678400,160.15,174.97,164.14,173.0,37308.95467002,2021-06-03,6454449.15791346
1622592000,148.89,170.4,154.23,164.21,33949.64325847,2021-06-02,5574870.919473359
1622505600,148.13,164.41,161.61,154.03,32657.62315161,2021-06-01,5030253.694042489
1622419200,141.01,162.57,149.65,161.88,47009.57310379,2021-05-31,7609909.694041524
1622332800,137.58,160.0,149.4,149.77,56885.18546442,2021-05-30,8519694.227006184
1622246400,141.73,187.0,164.9,149.38,198039.27435462,2021-05-29,29583106.803093135
1622160000,131.26,168.45,150.43,165.03,145857.06220984,2021-05-28,24070790.976489894
1622073600,140.92,159.86,158.76,150.61,39898.24537214,2021-05-27,6009074.735498006
1621987200,142.44,159.81,145.53,158.78,50988.8344149,2021-05-26,8096007.128397821
1621900800,130.31,155.75,149.39,145.36,70867.51114765,2021-05-25,10301301.420422405
1621814400,114.54,149.6,114.74,149.44,108481.75668655,2021-05-24,16211513.719238032
1621728000,87.13,148.96,142.79,114.58,149324.221834,2021-05-23,17109569.33773972
1621641600,133.39,161.15,156.4,142.69,59071.99629971,2021-05-22,8428983.15200562
1621555200,136.26,192.16,182.77,156.66,103097.12041971,2021-05-21,16151194.884951768
1621468800,135.85,194.99,150.5,183.0,111314.81012822,2021-05-20,20370610.25346426
1621382400,112.76,263.05,255.36,150.0,223659.09626828,2021-05-19,33548864.440242
1621296000,233.01,261.99,235.68,255.33,55743.45656382,2021-05-18,14232976.764440162
1621209600,225.77,262.54,262.25,235.64,79035.97124138,2021-05-17,18624036.26331878
1621123200,245.28,291.24,271.4,262.4,84257.97149955,2021-05-16,22109291.721481916
1621036800,268.07,316.59,306.17,271.16,75748.86943727,2021-05-15,20540063.436610136
1620950400,286.1,324.0,296.92,306.43,88001.00753456,2021-05-14,26966148.738815222
1620864000,250.0,324.74,272.55,296.75,193713.57535783,2021-05-13,57484503.487436056
1620777600,260.0,386.0,302.66,273.87,367363.58015516,2021-05-12,100609863.69709367
1620691200,272.1,303.26,283.81,302.58,68406.9172511,2021-05-11,20698565.021837838
1620604800,268.49,330.0,306.16,284.03,96761.11152938,2021-05-10,27483058.507689796
1620518400,288.25,318.22,316.46,305.81,48228.35788416,2021-05-09,14748714.124554971
1620432000,295.44,343.92,320.19,316.33,72546.12470209,2021-05-08,22948515.62701213
1620345600,296.03,343.38,309.18,320.16,65647.5458052,2021-05-07,21017718.264992833
1620259200,271.24,329.17,292.41,309.25,95552.08222367,2021-05-06,29549481.42766995
1620172800,237.73,300.0,241.36,292.32,123828.25228002,2021-05-05,36197474.70649544
1620086400,230.45,267.47,250.58,241.28,69380.65715937,2021-05-04,16740164.959412795
1620000000,242.93,254.82,243.62,250.48,27795.21164433,2021-05-03,6962144.612671779
1619913600,241.6,259.54,258.31,243.67,20115.51167289,2021-05-02,4901546.7293331055
1619827200,243.73,259.0,245.4,257.86,28326.6629346,2021-05-01,7304313.304315956
1619740800,225.6,248.56,229.64,245.68,27522.46872859,2021-04-30,6761720.117239991
1619654400,223.71,241.4,240.7,229.68,17825.66184436,2021-04-29,4094198.0124126044
1619568000,226.51,243.75,241.98,240.8,35928.71196457,2021-04-28,8651633.841068456
1619481600,223.0,242.12,227.04,242.05,28861.99621523,2021-04-27,6986046.183896421
1619395200,200.34,228.44,202.39,227.21,32835.67117842,2021-04-26,7460592.848448809
1619308800,191.6,215.85,198.87,202.57,26279.0061571,2021-04-25,5323338.277243747
1619222400,197.16,219.81,219.81,198.69,26873.20636537,2021-04-24,5339437.372735365
1619136000,173.44,226.5,223.9,219.9,83557.60317747,2021-04-23,18374316.938725654
1619049600,218.41,248.0,237.1,224.03,53111.89064488,2021-04-22,11898656.861172466
1618963200,231.37,256.17,249.73,237.2,51318.98467986,2021-04-21,12172863.16606279
1618876800,209.49,250.39,226.08,249.67,79648.57409358,2021-04-20,19885859.493944116
1618790400,221.04,265.46,260.37,225.63,67626.76905829,2021-04-19,15258627.902621971
1618704000,188.02,286.52,280.25,260.58,157408.16096349,2021-04-18,41017418.58386622
1618617600,269.6,299.47,270.67,279.69,84290.19186979,2021-04-17,23575123.764061563
1618531200,235.27,272.51,252.64,270.67,89145.33987555,2021-04-16,24128969.14411512
1618444800,235.11,255.28,237.56,252.64,52198.16034004,2021-04-15,13187343.228307704
1618358400,217.99,243.94,226.48,237.55,66965.15372653,2021-04-14,15907572.267737202
1618272000,217.3,231.64,221.12,226.57,47147.80621721,2021-04-13,10682278.45463327
1618185600,209.08,236.8,222.87,221.46,58100.53756397,2021-04-12,12866945.048916796
1618099200,205.84,231.83,206.33,222.74,85544.32746615,2021-04-11,19054143.499810252
1618012800,193.41,210.35,194.44,206.1,47676.63311571,2021-04-10,9826154.08514783
1617926400,183.63,198.51,184.78,194.26,39388.29770692,2021-04-09,7651570.712546279
1617840000,170.22,185.76,171.35,184.78,23950.6498459,2021-04-08,4425601.078525402
1617753600,162.17,194.09,191.24,171.1,47929.96460615,2021-04-07,8200816.9441122655
1617667200,181.65,200.0,197.29,191.1,46095.29619219,2021-04-06,8808811.102327509
1617580800,182.77,200.0,187.15,197.19,51053.65565758,2021-04-05,10067270.359118199
1617494400,169.15,195.05,171.66,187.16,77013.101472,2021-04-04,14413772.071499519
1617408000,163.41,179.04,169.7,171.48,42481.34585792,2021-04-03,7284701.187716122
1617321600,163.74,177.66,165.62,169.7,55217.13331208,2021-04-02,9370347.523059975
1617235200,152.81,167.0,158.37,165.36,63880.38771826,2021-04-01,10563260.913091473
1617148800,146.94,158.51,154.74,158.24,37553.39679672,2021-03-31,5942449.509112973
1617062400,145.62,156.61,149.12,154.61,49774.65405194,2021-03-30,7695659.262970444
1616976000,141.34,159.7,144.82,149.02,68990.68800832,2021-03-29,10280992.326999847
1616889600,129.83,144.98,133.61,144.95,32258.42578267,2021-03-28,4675858.817198017
1616803200,126.2,135.49,133.55,133.55,24835.92357244,2021-03-27,3316837.593099362
1616716800,123.02,133.55,123.02,133.45,23793.97446946,2021-03-26,3175305.892949437
1616630400,116.22,128.75,127.62,123.02,42346.55766356,2021-03-25,5209473.523771151
1616544000,125.58,141.67,136.12,127.65,37897.82412362,2021-03-24,4837657.249380093
1616457600,135.0,143.42,139.6,136.13,29261.9433592,2021-03-23,3983428.3494878956
1616371200,139.6,149.67,148.29,139.69,26416.5078832,2021-03-22,3690121.986204208
1616284800,145.28,156.53,154.88,148.31,28583.33089494,2021-03-21,4239193.805028551
1616198400,149.3,161.29,150.31,154.88,51175.53443522,2021-03-20,7926066.773326873
1616112000,140.41,153.31,143.04,150.49,28747.94411603,2021-03-19,4326278.110021356
1616025600,141.93,150.76,146.22,142.93,33821.87089579,2021-03-18,4834160.0071352655
1615939200,134.47,146.93,139.41,146.22,28528.31089992,2021-03-17,4171409.6197863026
1615852800,130.05,140.34,135.13,139.41,27132.81209931,2021-03-16,3782585.3347648066
1615766400,133.91,147.23,143.27,135.04,39429.56646666,2021-03-15,5324568.655657765
1615680000,143.28,158.11,156.35,143.28,29058.90705657,2021-03-14,4163560.2030653493
1615593600,137.29,160.18,145.31,156.33,59503.67759452,2021-03-13,9302209.918351311
1615507200,141.86,156.62,152.01,145.27,44665.51639501,2021-03-12,6488559.5667031035
1615420800,135.77,158.35,139.84,152.08,83970.66044915,2021-03-11,12770258.041106734
1615334400,131.03,142.63,137.83,139.76,52856.91775449,2021-03-10,7387282.825367522
1615248000,128.0,138.5,129.58,137.82,40440.09130975,2021-03-09,5573453.384309745
1615161600,123.96,132.71,130.18,129.7,28376.17946381,2021-03-08,3680390.4764561565
1615075200,124.56,130.76,125.33,130.11,26822.6542033,2021-03-07,3489895.5383913633
1614988800,118.83,127.05,121.24,125.18,21590.40909952,2021-03-06,2702687.4110779134
1614902400,113.17,124.31,122.0,121.13,33910.23135641,2021-03-05,4107546.324201943
1614816000,117.27,129.98,126.71,122.0,36534.15157991,2021-03-04,4457166.49274902
1614729600,119.2,130.97,120.54,126.72,43882.79728711,2021-03-03,5560828.072222579
1614643200,116.44,126.86,124.45,120.54,41273.44237121,2021-03-02,4975100.743425654
1614556800,110.29,126.0,111.62,124.44,53788.37185076,2021-03-01,6693424.993108574
1614470400,104.57,120.35,119.78,111.61,58025.07550658,2021-02-28,6476178.677289394
1614384000,117.69,125.09,118.43,119.87,34479.78149328,2021-02-27,4133091.4075994743
1614297600,113.58,125.12,121.03,118.42,61456.97019529,2021-02-26,7277734.410526242
1614211200,120.11,139.6,131.03,120.99,76858.98929497,2021-02-25,9299169.11479842
1614124800,122.23,136.13,127.33,131.16,70890.70839273,2021-02-24,9298025.312790466
1614038400,103.78,145.21,144.34,127.27,174020.09809126,2021-02-23,22147537.884074662
1613952000,120.0,162.99,162.03,144.49,116293.25729218,2021-02-22,16803212.74614709
1613865600,158.58,168.0,164.29,162.03,58951.34518071,2021-02-21,9551886.45963044
1613779200,155.81,185.43,180.6,164.35,122898.52271429,2021-02-20,20198372.20809356
1613692800,161.89,189.98,169.9,180.24,113411.07697389,2021-02-19,20441212.513773933
1613606400,157.27,179.47,168.69,169.93,82339.46920691,2021-02-18,13991946.002330216
1613520000,147.13,173.68,155.75,168.73,66883.17416296,2021-02-17,11285197.97651624
1613433600,148.65,168.01,158.85,156.06,77931.97578907,2021-02-16,12162064.141642265
1613347200,125.0,179.59,156.62,159.1,209978.93579926,2021-02-15,33407648.685662266
1613260800,152.66,180.59,176.53,156.4,124572.58643477,2021-02-14,19483152.518398028
1613174400,143.03,214.0,143.04,176.49,323317.49501803,2021-02-13,57062304.69573212
1613088000,133.14,149.06,142.3,143.02,89365.262258,2021-02-12,12781019.808139162
1613001600,113.25,150.0,116.43,142.12,169425.31584366,2021-02-11,24078725.88770096
1612915200,106.32,121.72,109.04,116.53,126158.82545142,2021-02-10,14701287.929853972
1612828800,97.22,110.45,98.19,108.96,107850.6961128,2021-02-09,11751411.848450687
1612742400,91.26,98.68,92.44,98.06,43833.07304683,2021-02-08,4298271.14297215
1612656000,89.0,95.77,94.37,92.39,31751.12907748,2021-02-07,2933486.8154683774
